Server ID,Server Name,Server Status,Disk Usage (%),CPU Usage (%),Memory Usage (%),Operating System,Number of CPU Cores,RAM Capacity (GB),Network Traffic (Mbps),Disk I/O (IOPS),Server Location,Server Uptime (days),Target
4352374a-3d58-46dc-975e-efd73f87337f,Server B,Online,30.31,67.63,21.2,Windows Server,16,16,25.98,61.2,Data Center,59,0
861862f8-db1f-4204-8b51-30484437f13a,Server C,Offline,55.2,12.52,10.7,Linux,4,16,54.8,33.97,Office,1,0
ab4e0d2b-668f-4e81-b133-23b084c17283,Server B,Online,85.5,45.52,37.24,Linux,12,16,44.17,46.04,Data Center,281,1
2218e325-9e97-49fa-8079-54faa9042eb1,Server A,Offline,46.28,52.61,79.03,Windows Server,16,64,66.01,99.65,Data Center,290,1
6b89dd5c-97bc-4a87-b8c2-2cea9850ace4,Server A,Offline,91.39,15.09,43.2,Ubuntu Server,16,64,82.61,92.69,Data Center,49,1
18e244e4-7024-4fb0-a0af-e6160e900428,Server B,Online,39.94,71.34,30.73,Windows Server,8,16,47.23,98.87,Data Center,66,1
ab119be1-78a7-446f-9242-aa8511e0567c,Server C,Offline,26.18,27.36,92.71,Windows Server,12,16,81.09,78.69,Office,184,1
bac98dc5-d083-4e43-b8f6-e278979d4cff,Server B,Offline,29.83,12.26,41.24,Linux,4,16,13.2,78.95,Office,274,1
f90c3bd4-9d6c-462a-a5e3-f4edd8e0d00b,Server B,Online,36.85,57.95,72.12,Linux,8,8,16.49,10.97,Data Center,210,1
11a34480-520a-4e4e-a0bf-72058d2243c9,Server C,Online,13.71,81.05,72.5,Linux,12,64,81.46,61.13,Data Center,325,1
09089021-168c-4bf5-aac3-a8986a73b518,Server B,Online,94.01,61.71,81.98,Windows Server,6,8,84.44,60.03,Data Center,44,0
a8c8ed01-9267-4211-9fd2-2aefb3525be5,Server B,Online,36.71,34.0,80.47,Ubuntu Server,4,64,16.3,49.15,Office,87,0
0b903ac7-8ed4-4ae2-9288-460c3bbdd369,Server A,Online,19.15,54.87,67.02,Ubuntu Server,6,64,95.17,68.72,Office,349,1
8d92bad2-615d-443d-84d9-228132f91f95,Server B,Online,64.55,77.51,48.71,Windows Server,4,16,29.41,26.54,Data Center,190,1
cd773ec3-cd65-46b9-954a-eb766c7ef6e6,Server C,Online,37.71,65.32,22.36,Windows Server,8,8,67.16,68.71,Office,202,1
2b9d5f13-d839-410e-afe8-ea25d9d070a5,Server B,Offline,16.11,67.1,38.28,Windows Server,6,8,79.32,40.94,Data Center,261,1
d1ee883d-e436-4725-b0c1-f9dfe6e9f4fb,Server B,Offline,87.74,35.78,53.35,Windows Server,4,8,82.01,84.42,Office,21,0
a6727481-9dcf-44ed-acbd-6728b603ff07,Server A,Online,36.54,47.36,13.28,Windows Server,4,16,66.01,17.67,Data Center,6,0
1d803fb6-1759-4265-8de6-af69bc47fb4f,Server B,Offline,16.31,25.35,92.29,Windows Server,16,16,78.89,31.7,Data Center,204,1
ad5968d0-6d03-474c-89bd-52cdefa66450,Server B,Online,84.66,33.79,59.11,Linux,16,64,83.22,52.81,Office,145,0
7aa3c1fe-1b73-4927-8d8a-64268ebdcd9a,Server C,Offline,21.35,42.5,90.46,Linux,6,16,18.44,64.78,Office,315,1
f9aaee14-4fc7-49e4-9da1-24c9c00648d7,Server B,Offline,43.85,40.19,77.26,Linux,8,16,33.14,33.47,Office,143,0
8c952519-1a6e-4f2a-8d51-7413f8a83230,Server B,Offline,57.71,14.99,35.14,Ubuntu Server,8,32,23.92,97.61,Office,105,1
46523ad5-d4ed-4263-a672-a49fdb5fa9c0,Server B,Online,41.69,13.68,60.01,Linux,16,64,91.24,13.32,Office,337,1
01c57ff7-27b8-4d3e-a0f0-1f8fe880c4eb,Server B,Online,89.32,18.71,88.51,Windows Server,8,16,38.27,90.34,Office,223,1
70ea4f39-3d3a-474c-95e4-fff0d0d7e831,Server B,Online,49.64,92.13,44.85,Ubuntu Server,16,64,40.18,81.09,Data Center,125,1
b4badfea-3905-4890-b016-076ac44126ef,Server A,Offline,33.66,33.98,59.76,Windows Server,16,8,28.11,49.13,Office,56,0
4305ef5f-2b7e-47bb-ab2a-62b6530e5f8d,Server B,Offline,67.56,79.09,56.14,Ubuntu Server,6,16,72.83,42.34,Office,235,1
e6b577dd-cbbe-40f3-a567-1ca4ce042e70,Server B,Online,78.76,14.84,81.45,Ubuntu Server,4,8,19.89,67.48,Office,104,0
cb421efd-83a1-41eb-910f-16f2e7829556,Server A,Offline,54.57,22.82,55.74,Ubuntu Server,12,16,52.72,66.95,Office,84,0
f34c0257-12e6-447e-80e7-78d1ba94a76a,Server A,Online,86.6,62.86,49.46,Ubuntu Server,4,8,88.4,24.53,Office,230,1
c4ffae06-2bf1-47b2-9fd4-6929e3ae0f0c,Server B,Online,46.0,18.0,44.04,Linux,12,64,65.59,16.44,Office,62,0
791b9315-1be4-45cc-8c43-fa938df5bf0c,Server C,Offline,68.06,85.06,40.29,Ubuntu Server,4,64,44.41,99.74,Data Center,67,1
e8f1db8f-424f-4b71-a89a-d475088beebf,Server A,Offline,39.27,54.26,91.13,Windows Server,6,16,46.64,17.88,Data Center,175,1
12c23826-5a8d-4c69-8486-efa43e646890,Server A,Offline,45.77,83.16,48.67,Linux,12,64,69.32,40.21,Data Center,192,1
2703e298-15d7-4b1e-8f3d-71f4e200134f,Server B,Offline,44.45,20.42,92.55,Ubuntu Server,16,64,74.28,58.9,Office,88,1
28f0ad68-6f14-4be1-8d84-adf0ea992cb0,Server C,Offline,91.47,42.25,23.21,Ubuntu Server,12,16,76.37,48.73,Data Center,231,1
81afa243-9f51-47b5-bb37-03ceef6e1edd,Server B,Offline,33.38,41.78,40.0,Linux,6,8,87.59,16.48,Office,105,0
653d76e3-23a6-41a1-a049-a5a70eea65a0,Server A,Online,66.14,51.26,78.58,Linux,6,32,92.1,83.36,Data Center,86,1
33088541-1585-41bd-9f6f-9dd76e8d17e4,Server B,Online,69.19,82.75,48.76,Ubuntu Server,8,32,56.71,88.97,Data Center,362,1
da88d027-935a-44fc-b3c3-9115b1807c60,Server C,Offline,37.69,51.2,83.66,Windows Server,8,32,47.35,40.53,Office,188,1
38c94d21-9536-4575-b0d1-d2dbe717cba1,Server C,Offline,47.5,14.86,83.25,Ubuntu Server,4,16,77.41,45.25,Office,204,1
19b8728f-094a-44e7-bc7a-87d5d0273d25,Server C,Offline,42.62,44.46,91.06,Ubuntu Server,12,64,47.36,82.94,Office,363,1
d90ad99f-69c8-4600-8297-68e153cefe1a,Server C,Offline,24.15,22.22,91.46,Ubuntu Server,8,32,38.68,31.78,Office,186,1
155a221e-2556-46a7-a85b-2ebb67cf606c,Server A,Offline,50.12,86.29,46.8,Linux,8,8,77.12,11.28,Office,310,1
20ad883e-4d2a-4ad7-a944-4c88f3576f87,Server A,Offline,85.85,80.57,88.64,Linux,6,16,62.07,89.53,Office,279,1
d993b83c-8935-466c-8dbb-e85728494dfb,Server B,Offline,34.65,61.5,69.93,Ubuntu Server,6,16,11.11,87.67,Office,180,1
669a8177-66c5-438d-aa54-d0a610b356d5,Server C,Online,46.5,57.99,27.83,Linux,12,16,87.57,49.47,Office,193,1
76e190db-62a5-4b4e-837c-cab471e0ab26,Server A,Offline,74.46,16.43,14.78,Ubuntu Server,4,8,15.62,77.36,Office,195,1
353803e0-ac09-4371-a38b-f7751241effe,Server A,Online,25.04,70.29,89.25,Ubuntu Server,8,32,54.33,94.39,Data Center,206,1
3cd7a2c7-d823-4759-820f-ebd07c6cd7ea,Server C,Offline,75.87,64.65,23.81,Ubuntu Server,12,32,51.73,68.41,Data Center,161,0
7d1c87dd-bce3-48fd-b2fe-1cd04c4a8f93,Server A,Online,37.15,56.82,72.69,Ubuntu Server,12,16,47.65,13.46,Office,326,1
56d89756-16c5-4455-9bc7-d306891c3a3b,Server B,Online,89.39,20.27,50.31,Linux,8,64,33.73,10.87,Data Center,269,1
aa71aded-6afb-454a-b27e-a4704dfe483d,Server B,Offline,29.56,46.94,90.73,Windows Server,8,8,97.37,34.04,Data Center,126,1
3fe73c62-54be-4520-8810-e9bd6f1fbc02,Server C,Online,14.29,26.59,12.36,Ubuntu Server,6,8,36.24,71.42,Office,283,1
7e2afd7a-778c-4b61-9551-76344cbacf1c,Server A,Online,76.53,78.98,76.3,Ubuntu Server,16,8,58.42,64.45,Data Center,179,0
029a0b1a-7969-4487-934a-965970ed7954,Server B,Offline,63.75,66.39,11.7,Windows Server,4,32,29.39,35.11,Office,44,0
5b6fc960-95ce-47fd-a82b-70f74f766146,Server A,Online,74.48,60.89,73.78,Windows Server,6,64,60.66,16.04,Data Center,322,1
81a24625-74c5-4cd4-a8db-a5a519e38ae9,Server C,Online,54.09,22.51,76.37,Linux,6,32,98.76,58.62,Data Center,159,1
4ee08558-7f1d-4d96-b702-c90d60d15cd1,Server B,Offline,34.26,12.37,34.59,Ubuntu Server,8,32,60.24,39.28,Office,58,0
7abdbb3a-7ca3-48da-9e9c-655e34cf84b3,Server A,Offline,74.06,56.14,46.16,Windows Server,4,8,62.82,16.08,Data Center,200,1
c6ae51c6-d9db-41ac-a2fb-d6e3ee2d8dd9,Server A,Online,44.73,48.69,19.73,Windows Server,8,64,93.11,14.8,Data Center,128,1
c8613255-5ced-40ce-93ae-258853103e9e,Server B,Offline,43.32,81.51,62.29,Ubuntu Server,6,32,23.22,63.07,Office,141,0
2b204733-5ddc-4f3a-9d94-81a99f7bf8ee,Server B,Offline,75.54,33.26,55.44,Windows Server,16,16,21.58,81.65,Data Center,168,0
a56b27bf-d263-485d-907b-313cba6d755c,Server B,Offline,81.57,39.77,11.28,Windows Server,4,64,83.63,60.65,Office,349,1
77df3b01-d0a7-4187-95ee-6c8c9d040cad,Server C,Online,44.56,14.27,23.53,Windows Server,8,64,88.64,72.7,Data Center,20,0
a364ce88-9855-41e0-8b5a-dfd74f5bd24f,Server A,Offline,84.99,15.08,42.74,Linux,12,32,32.33,16.38,Office,124,0
8dc82c1b-dd5d-41ac-974b-fb8d83e2ef47,Server A,Online,14.27,24.98,57.64,Windows Server,16,16,90.43,56.37,Office,352,1
e10669cf-040b-4ee0-a478-909ca1ee9197,Server C,Online,54.05,32.27,51.02,Linux,16,8,19.82,79.07,Office,324,1
35b5cc98-7777-4cc8-b137-54d9fe6b7676,Server C,Online,40.06,68.22,12.25,Windows Server,6,64,95.72,61.02,Data Center,179,1
3a7cfef7-b26c-4c16-8d24-39828dfbf5ee,Server C,Offline,60.41,54.77,69.65,Linux,4,8,30.9,45.7,Data Center,131,0
5375fb14-4130-4824-b33f-697f3e8f118a,Server A,Offline,86.46,70.99,55.48,Ubuntu Server,16,16,60.43,88.11,Office,292,1
d485f3bb-37f1-4d3d-99d4-86d8b1a8da8e,Server C,Online,38.52,26.52,41.79,Windows Server,6,64,29.45,86.34,Office,276,1
9e9e8e73-6cde-49a7-8812-f18aa795639f,Server A,Offline,68.48,89.83,72.7,Linux,12,64,96.02,69.29,Data Center,75,1
1f9187f7-3b36-47b6-a2f1-7d733f6b3b86,Server A,Offline,92.04,81.06,71.99,Ubuntu Server,12,8,44.69,56.54,Office,297,1
2b11cb42-2891-4caa-a7d5-151bdf384691,Server C,Online,42.79,28.25,25.34,Ubuntu Server,12,16,86.95,54.78,Data Center,362,1
49eb6411-5ba4-4974-a386-02b408be5032,Server C,Offline,22.26,21.85,31.51,Windows Server,12,32,32.04,14.01,Office,92,0
72b5cb48-263f-4bd5-a322-b0744d1ec5a7,Server B,Online,13.15,94.44,29.2,Ubuntu Server,12,32,60.72,23.55,Office,180,1
e5641ffb-6bce-4210-86be-d5537fb8461d,Server A,Online,32.49,41.92,16.85,Linux,6,64,18.82,22.43,Office,123,0
a1ee7fda-9fcf-4cd3-a5ae-bf5691943f4c,Server C,Online,31.41,86.26,16.54,Windows Server,8,32,32.91,57.72,Data Center,347,1
a116bd7e-275d-4686-8e8b-0b7447630387,Server B,Online,47.6,30.64,75.42,Linux,6,64,78.3,34.54,Data Center,82,0
f890dbef-128c-49f3-af37-638aa5e4ce24,Server C,Offline,88.26,22.12,37.74,Ubuntu Server,6,8,13.38,69.77,Office,263,1
104569ed-5e15-43a5-8825-8454c4b8f1f5,Server B,Online,35.4,84.05,41.87,Ubuntu Server,12,8,70.96,90.11,Data Center,159,1
1f19f28f-1ea4-48e4-9972-83689730330b,Server A,Online,87.86,55.39,51.42,Linux,16,64,19.58,34.4,Office,101,0
49393adc-dd55-4d16-a690-cde71663caa9,Server B,Offline,38.41,10.18,78.04,Windows Server,4,32,10.42,38.3,Data Center,124,0
ae3f7f1b-01eb-4fe5-adce-4181cd5d3f6c,Server A,Online,58.88,53.31,38.17,Windows Server,16,64,99.26,26.64,Data Center,350,1
2486ed6d-eb87-4c81-acd5-0c5e9dc0f721,Server A,Online,14.17,93.76,74.42,Linux,12,16,29.65,78.39,Data Center,87,1
d6f48d62-3948-426c-974d-e4e194961c6d,Server B,Online,62.86,34.26,61.4,Windows Server,8,32,73.37,95.6,Office,201,1
665e7c22-2937-4985-9cda-c6cc832427f3,Server B,Online,91.77,47.05,87.12,Windows Server,4,32,51.74,70.24,Data Center,38,1
16737da7-3af0-49b7-9f5a-62be0ce71e21,Server A,Online,55.29,40.34,17.95,Windows Server,12,64,51.52,59.09,Data Center,27,0
66c51149-725a-4ee2-9bf2-fc6c3259ba1b,Server A,Offline,36.24,66.37,76.53,Ubuntu Server,4,32,70.82,65.34,Data Center,64,0
f048ade5-5f91-49c5-b923-3408392e6467,Server B,Online,43.03,86.21,62.99,Windows Server,4,64,24.69,26.31,Office,70,0
07c8a42b-8829-46d7-a189-07bf66fe0a63,Server B,Online,80.17,85.82,56.53,Linux,4,32,97.37,91.48,Data Center,153,1
d23e4c12-fb23-4eb2-9caf-6c88752b5854,Server B,Offline,75.52,72.12,17.81,Ubuntu Server,4,64,48.74,60.22,Office,7,0
48e4fa3f-8d6a-4182-bb52-15b0f769bcaa,Server B,Offline,91.04,62.53,78.32,Windows Server,4,64,70.12,39.49,Office,339,1
5f845962-aed5-4ca0-8aa2-a6f0dde2d9f2,Server C,Offline,63.13,56.52,46.02,Windows Server,4,8,58.9,40.95,Data Center,208,1
8d5436c0-f510-4856-9655-68cf1362c849,Server C,Offline,61.93,92.27,25.23,Windows Server,12,16,78.01,90.85,Data Center,252,1
132f9725-b198-463e-bc60-2713b8bf91bc,Server B,Online,30.71,44.22,19.9,Linux,16,32,66.86,43.4,Office,99,0
f17e7c7b-91fc-4ffc-9fcd-5aa0e3cd8cdf,Server B,Offline,47.01,93.66,94.09,Windows Server,8,16,78.04,53.84,Office,235,1
d34625c8-f1e5-46c6-b73f-7e711f309953,Server A,Offline,65.87,53.02,15.2,Windows Server,12,16,42.25,92.73,Data Center,361,1
d21afad6-84ca-4d4e-b766-83d636bc2005,Server B,Offline,73.07,82.83,74.3,Windows Server,6,16,79.48,74.64,Data Center,314,1
aeb9dacb-3a34-4d0a-9579-87045c596e68,Server C,Offline,63.16,77.66,11.97,Windows Server,12,8,10.0,24.78,Office,61,0
9296bbb6-b37b-4b53-8e5a-f5eadaa628ba,Server C,Online,18.19,68.24,86.84,Windows Server,8,16,51.98,85.36,Office,273,1
1891bef7-c9d3-45c6-9b86-d5672d92b434,Server B,Online,83.58,64.29,10.83,Linux,8,64,10.68,31.62,Data Center,201,1
1411d2c6-d3c7-4d8e-855d-e6f3fdf4dbb0,Server A,Online,60.93,19.45,89.44,Windows Server,12,64,79.89,34.01,Office,13,1
a5acdc34-788f-42a9-b04d-0f6dec6dada1,Server C,Online,88.65,68.65,35.7,Ubuntu Server,6,32,54.44,84.19,Office,176,0
5f4db731-166f-4321-bfce-bfab6cf1b25e,Server B,Offline,31.91,72.68,73.87,Windows Server,12,16,94.5,23.75,Data Center,95,1
ef41dacc-3b22-4e7c-a122-7b4e8eafd865,Server B,Online,63.53,19.52,11.58,Ubuntu Server,16,16,74.77,60.12,Data Center,119,0
cd5bff69-8a3b-4688-812b-9992d3b70d99,Server C,Online,90.71,28.89,10.48,Linux,6,8,19.29,63.56,Data Center,121,0
e67a4ad2-a42a-4724-912d-81d6d2fe3b8c,Server B,Offline,52.02,81.12,69.3,Ubuntu Server,12,8,64.76,75.75,Office,22,0
396782c2-c7b5-426a-a6ba-2fa7ee242675,Server A,Online,26.29,63.17,47.47,Linux,6,64,92.17,94.63,Data Center,142,1
d85a50d9-0f68-4a32-b675-285fb2623e15,Server C,Online,25.23,94.3,30.29,Linux,12,64,22.38,93.22,Data Center,300,1
4156065c-cc0d-4ad9-843b-7d85cff20746,Server B,Offline,19.64,73.39,87.98,Linux,6,64,58.37,43.38,Office,279,1
8902ee3b-71b6-40d5-af56-62a1abbfe3e8,Server C,Offline,15.06,40.99,83.55,Linux,16,32,41.85,19.73,Office,365,1
3db1f9d5-da0e-42b2-951d-c133e0089e7b,Server C,Online,51.99,46.89,80.14,Linux,8,32,29.07,44.97,Data Center,216,1
7a7b5c34-fceb-4fbe-96fc-c3adc92f3c37,Server C,Offline,29.13,28.4,39.36,Ubuntu Server,4,32,46.71,36.15,Office,12,0
b8b5e7a6-ed6a-4be8-9101-fb2797c80b84,Server B,Offline,94.19,82.14,44.05,Linux,16,16,61.42,90.78,Office,318,1
971ab951-153c-4aa3-9546-a48ed6b49867,Server C,Offline,16.19,29.66,58.81,Linux,6,8,10.28,35.21,Office,126,0
23136116-80ba-4bfd-bc6d-becd270205ba,Server B,Online,65.9,15.77,62.36,Linux,8,32,68.15,98.05,Office,144,1
a5daf4ec-73fb-4c2c-8846-27995186eda4,Server C,Offline,33.58,12.24,10.34,Windows Server,8,32,21.68,79.0,Office,140,0
dac94bac-ae96-4e99-9f69-5703698643fe,Server B,Offline,58.34,25.39,23.63,Linux,6,64,35.67,48.52,Office,123,0
dc147206-36e2-4338-8c88-2760bf491791,Server C,Online,74.12,62.12,46.26,Windows Server,16,8,53.57,23.34,Data Center,16,0
9a6037fe-9e4a-4412-8792-c3e247a1d8f9,Server A,Online,54.12,61.1,33.08,Linux,6,8,11.37,82.11,Data Center,114,0
9504e507-4992-4adb-8dd8-b1a6de0d4f35,Server C,Online,16.76,89.29,48.63,Windows Server,12,8,11.97,63.24,Data Center,160,0
4ac4a044-26cb-4b66-83f3-f80f6a013ad7,Server C,Online,71.06,52.4,65.85,Linux,6,16,54.18,15.86,Data Center,95,0
0c1d28a0-960f-4c35-93c0-3efdefed5aa9,Server B,Online,22.98,38.02,22.69,Linux,6,8,57.27,88.81,Office,225,1
aebb7aa7-f9fc-46f8-b137-049f50958567,Server C,Online,89.6,75.61,59.1,Windows Server,12,64,26.37,97.8,Office,19,1
101d43fc-4747-41d7-ac96-13434b88b65b,Server C,Offline,28.87,56.28,52.79,Ubuntu Server,8,32,86.37,56.82,Office,132,0
1f3b3d02-6f22-4559-bead-dec1e59e8e36,Server B,Offline,87.46,14.29,79.61,Linux,6,32,53.07,86.59,Data Center,121,0
bc90b50f-fdce-479e-b77c-9c01cc60c453,Server A,Offline,27.03,78.81,51.63,Ubuntu Server,12,8,32.28,14.78,Data Center,10,0
c730eb5e-7566-4a5c-aa1c-3dfdcc42efee,Server A,Online,49.32,51.69,57.8,Ubuntu Server,4,8,39.11,55.4,Data Center,122,0
93a423b0-6f10-4ab6-a79a-2143f470c9c9,Server A,Offline,62.0,12.62,23.29,Ubuntu Server,12,8,38.57,60.98,Office,323,1
8b50f790-6e77-49f1-b540-99ee7361160e,Server C,Online,79.94,59.86,72.16,Windows Server,4,8,50.08,87.37,Data Center,169,0
84454cd6-9118-4aca-95d6-0482acfd4596,Server B,Offline,74.44,19.61,53.88,Linux,16,64,30.2,94.16,Data Center,148,1
2ad9c55d-1020-4aa9-a4a3-0b4af65e5b99,Server C,Offline,26.28,72.75,16.8,Linux,8,32,85.32,27.0,Data Center,292,1
c8077c4b-8ce4-498d-9612-74d24c25d9e0,Server C,Offline,41.25,88.18,60.73,Linux,4,16,10.86,39.67,Data Center,324,1
60bb7dfa-c768-47bd-bb0b-e0a74ad802c4,Server B,Online,81.7,38.51,50.84,Windows Server,12,64,38.26,57.22,Office,56,0
90e4231d-3dec-4cba-8f9b-6aeb9b8e1329,Server B,Offline,23.57,71.49,80.31,Linux,8,8,87.87,53.97,Office,332,1
954df1e5-1b8c-488e-adb6-869e0ea5033f,Server C,Offline,34.86,20.31,27.49,Linux,6,8,16.73,48.37,Office,311,1
14487be7-de52-49d9-9451-86722b0610d9,Server C,Online,24.22,63.94,20.71,Ubuntu Server,4,32,76.16,53.45,Data Center,41,0
9460e42d-ef1d-4da0-afee-c767c443ced5,Server A,Online,39.21,31.86,50.3,Ubuntu Server,6,16,10.64,10.05,Office,135,0
053dd4e6-6954-4976-9907-a283b4e3e246,Server B,Offline,30.0,87.87,85.02,Linux,8,64,84.46,65.17,Office,85,1
d21e32c7-5d12-4c56-881e-ee365d763d94,Server C,Offline,46.17,35.32,60.33,Windows Server,6,32,79.07,45.32,Office,45,0
9113ff82-5aef-4468-bb61-50c69dceaf25,Server B,Online,42.21,71.76,94.26,Linux,16,8,53.08,56.39,Office,352,1
743ebb03-d420-437e-b3cf-f29e603daf5d,Server C,Offline,79.07,12.97,23.65,Ubuntu Server,6,32,62.81,79.1,Data Center,53,0
00db1a2a-de9f-4fe7-a512-e82e89aa1d62,Server C,Offline,87.75,77.64,68.05,Ubuntu Server,8,16,79.08,75.73,Data Center,46,0
1d1755d2-4c34-49b1-a087-df0dfc85a90e,Server A,Online,13.19,71.68,10.41,Windows Server,6,32,63.16,20.08,Office,250,1
8afd289b-f0c1-4996-aceb-b053aa946737,Server A,Online,94.79,70.69,20.62,Windows Server,8,16,91.38,16.9,Data Center,291,1
69f60509-61b4-4431-8e36-80c481f0656b,Server C,Online,76.82,75.14,16.02,Windows Server,8,64,47.85,62.87,Data Center,59,0
1e9166d4-9d96-4512-bfbd-1e34e2aa06f1,Server A,Offline,59.5,83.24,60.79,Ubuntu Server,4,32,99.18,71.87,Office,133,1
6131a888-a893-44a9-9541-b066281e9ebe,Server C,Offline,91.64,57.67,76.22,Windows Server,8,64,45.21,91.58,Data Center,10,1
8ed84761-4f54-4d67-a667-93702c8f0cfb,Server B,Online,28.51,92.01,80.32,Ubuntu Server,6,32,34.4,23.52,Office,227,1
b52eb9ff-6a16-42b7-bee0-26a56f357675,Server B,Offline,93.35,94.63,58.59,Windows Server,6,64,23.97,91.91,Office,89,1
ba4848b4-3e27-4b1c-9625-6431a1792c20,Server A,Online,68.21,64.95,61.95,Linux,16,64,39.12,28.43,Data Center,305,1
91563ed1-d11a-4015-a712-ec4d27f09795,Server B,Offline,16.59,72.06,16.62,Ubuntu Server,16,32,75.57,41.74,Office,3,0
8e392731-f72c-4961-b6ea-7fc21321f90b,Server C,Offline,50.99,32.62,10.4,Ubuntu Server,4,16,36.78,88.14,Data Center,263,1
f0103b34-a26a-485e-8ff8-178c8719fc89,Server C,Online,90.64,62.17,68.06,Ubuntu Server,16,64,99.06,73.57,Office,34,1
f0e950ae-370b-4cae-a229-40af7ebea628,Server C,Offline,20.34,84.87,83.17,Linux,12,32,70.17,72.51,Office,65,0
a7c92e15-7b08-4340-8bea-195a44e7a58f,Server B,Online,23.91,53.0,12.81,Windows Server,16,32,76.86,38.98,Data Center,313,1
d9041c57-e0a4-432f-85e5-69df934e9ae5,Server B,Online,18.69,81.57,63.72,Ubuntu Server,6,64,25.21,29.69,Data Center,336,1
1ed983f5-ec1e-4cb0-9e67-e281bb8ef24a,Server B,Online,53.13,35.44,28.35,Ubuntu Server,6,16,40.85,11.5,Office,192,1
bc7f2761-48c0-41e9-b22c-6d70c1ffa2ca,Server C,Offline,42.68,89.31,72.99,Ubuntu Server,4,64,96.44,34.4,Data Center,151,1
a5253a47-801e-45a9-91eb-da2403aed74a,Server B,Offline,13.31,27.28,69.44,Linux,12,32,47.79,19.25,Office,319,1
5fa9deb4-baea-4b0c-8063-f3abcedbae01,Server C,Offline,46.68,67.73,61.94,Ubuntu Server,6,32,10.73,29.21,Office,184,1
bab06b7c-b2f9-4033-855a-91a83297fa73,Server A,Online,56.65,57.14,39.55,Linux,8,8,67.49,39.07,Office,163,0
3249d6fe-b674-4499-bbd4-fed359364a32,Server B,Offline,84.73,19.13,20.71,Ubuntu Server,6,8,44.8,16.85,Data Center,28,0
ff26e469-b59f-4304-8770-cf7b4131949d,Server C,Offline,38.13,65.31,78.8,Windows Server,8,16,15.96,15.51,Office,136,0
e33889ba-e79b-4b12-a0dd-b0199566449f,Server B,Online,58.61,16.81,36.38,Ubuntu Server,16,64,46.91,94.59,Office,252,1
a4b17697-dfbd-46c2-8467-857af4422bf8,Server B,Online,25.04,58.41,55.27,Linux,16,64,68.78,25.24,Office,358,1
1012bbd5-c9f7-47c8-a89b-9be813ed16d6,Server A,Offline,36.56,94.52,85.54,Windows Server,4,32,95.75,14.74,Data Center,154,1
2887aed9-910b-453d-9dd1-d578481711af,Server A,Online,22.13,88.15,25.02,Windows Server,8,32,77.73,71.36,Data Center,283,1
