Laptop ID,Laptop Model,Laptop Status,Fan Faulty,Disk Usage (%),CPU Usage (%),Memory Usage (%),Manufacturer,Processor Type,Screen Size (inch),Battery Capacity (Wh),Number of USB Ports,Graphics Card,Bluetooth,Wi-Fi,Touch Screen,Weight (kg),Target
35bd0b9d-90fd-42a5-b5f6-c07d899b0245,Laptop Model C,Active,0,81.82,10.26,89.75,Asus,Intel Core i5,14,70,4,NVIDIA GeForce GTX 1650,Yes,Yes,Yes,1.4,1
759af924-0872-426d-a323-4126db90486b,Laptop Model B,Offline,0,10.05,56.0,46.04,HP,Intel Core i5,14,70,3,NVIDIA GeForce GTX 1650,No,No,No,1.62,0
bb463b46-3504-4851-babc-183f0dba2d36,Laptop Model C,Offline,1,68.31,47.35,88.31,Dell,Intel Core i5,13,40,4,NVIDIA GeForce GTX 1650,No,No,No,2.09,1
73b4f5da-93c9-498c-a57d-723cb1e17034,Laptop Model A,Offline,1,66.08,83.27,66.21,HP,Intel Core i7,13,70,4,NVIDIA GeForce GTX 1650,No,Yes,No,1.97,1
1dff9258-de40-4919-af3e-d9812bf6113c,Laptop Model C,Offline,1,19.73,43.37,82.39,Lenovo,Intel Core i5,14,40,3,Integrated Graphics,Yes,No,No,2.01,1
53ac8389-1a54-465a-9eac-334f1e050704,Laptop Model C,Offline,1,63.42,93.12,15.35,Lenovo,Intel Core i7,15,50,4,NVIDIA GeForce GTX 1650,No,Yes,No,1.31,1
71efc75d-c4b9-4c0b-8701-b202ba8fdaff,Laptop Model B,Offline,1,83.88,52.93,30.35,Dell,Intel Core i5,14,50,3,Integrated Graphics,No,Yes,No,1.79,1
cd8207be-93a4-4b52-9b79-567b05af6fbf,Laptop Model A,Offline,0,16.07,61.89,66.25,Lenovo,Intel Core i5,15,60,3,NVIDIA GeForce GTX 1650,No,No,No,1.71,0
3ba1872c-62c8-4034-8d2d-5b48ee528304,Laptop Model B,Offline,0,41.29,82.64,43.93,HP,Intel Core i7,15,60,2,Integrated Graphics,No,No,No,1.76,1
74684ed8-25dc-4843-975b-1769831f6fe8,Laptop Model A,Offline,1,30.27,24.24,50.3,Dell,AMD Ryzen 7,13,60,3,Integrated Graphics,No,No,Yes,1.19,1
e23ca4e9-5d8b-4f4f-aa5f-6b000b4e7802,Laptop Model B,Active,0,83.07,41.79,63.59,HP,Intel Core i5,15,70,2,NVIDIA GeForce GTX 1650,No,No,No,1.39,1
fa27e106-6ce7-454b-8f65-7ecc26d6ada0,Laptop Model B,Active,1,80.7,83.91,66.1,Asus,AMD Ryzen 7,13,50,4,Integrated Graphics,Yes,Yes,No,1.76,1
d7cbe7f5-1ddb-4010-8c81-6a7bb759a4b4,Laptop Model A,Offline,1,78.31,33.27,10.94,Dell,Intel Core i5,14,70,3,NVIDIA GeForce GTX 1650,Yes,No,Yes,2.18,1
3bd41e93-9977-4a7c-b3ce-847d29d89d31,Laptop Model B,Offline,0,67.68,35.41,65.85,Lenovo,Intel Core i7,15,50,3,Integrated Graphics,No,No,Yes,1.95,0
d511f6d8-62f9-45d1-bef5-6fb18cea0e5b,Laptop Model A,Offline,0,73.01,40.76,79.46,HP,Intel Core i5,17,40,4,NVIDIA GeForce GTX 1650,No,No,No,1.35,0
3a391fc8-db8f-409e-9eec-245bb675d7b7,Laptop Model A,Offline,0,37.73,79.91,73.06,HP,AMD Ryzen 7,17,70,3,Integrated Graphics,No,Yes,Yes,1.03,0
35aec39c-478f-42f2-82f0-c5776c297ec2,Laptop Model B,Offline,0,73.48,86.51,75.66,Asus,Intel Core i5,13,50,2,Integrated Graphics,No,Yes,No,1.75,1
911c09a4-287d-45b1-97fa-01786a23b60b,Laptop Model C,Offline,1,91.93,87.09,27.12,Asus,Intel Core i5,14,40,2,NVIDIA GeForce GTX 1650,Yes,No,Yes,1.72,1
17b0561e-6a32-4af5-a13a-45fd60d41d30,Laptop Model B,Active,0,41.45,30.64,73.38,HP,Intel Core i5,13,40,3,Integrated Graphics,Yes,No,No,2.48,0
64ae3f55-ab9d-4848-8b58-29c421c58e30,Laptop Model B,Active,1,28.81,34.01,62.71,Asus,Intel Core i7,15,60,4,Integrated Graphics,No,Yes,Yes,1.45,1
2de5fd31-505b-42c7-8b6b-14f7d64a570f,Laptop Model B,Offline,1,42.58,73.78,18.6,Dell,Intel Core i5,14,70,2,NVIDIA GeForce GTX 1650,Yes,Yes,Yes,1.51,1
66dd2788-2062-462c-bcb3-b92643da34d3,Laptop Model C,Offline,1,36.33,93.35,76.68,Asus,AMD Ryzen 7,14,40,2,Integrated Graphics,No,Yes,No,1.9,1
786defd7-704a-49bd-86d2-364df37eff61,Laptop Model A,Active,1,42.46,55.7,75.62,Lenovo,AMD Ryzen 7,14,40,2,NVIDIA GeForce GTX 1650,Yes,Yes,No,1.17,1
3e742ab3-d9c5-4993-9a81-47730ed05148,Laptop Model A,Offline,1,84.52,90.58,63.95,Dell,AMD Ryzen 7,13,60,3,Integrated Graphics,Yes,Yes,Yes,1.25,1
b8ab2b74-57ae-4e92-84a1-255ebcec8e91,Laptop Model C,Active,1,44.7,93.25,70.25,Dell,Intel Core i7,17,70,4,NVIDIA GeForce GTX 1650,No,No,Yes,1.88,1
0ee755ab-8d23-4b97-91d4-fa9be07a0d8f,Laptop Model B,Offline,1,91.09,27.79,74.34,HP,Intel Core i7,17,50,3,Integrated Graphics,No,Yes,No,1.26,1
d312cf0c-33d9-44f7-bef1-a55ba972687c,Laptop Model A,Offline,1,34.76,11.77,90.18,Dell,AMD Ryzen 7,14,60,2,NVIDIA GeForce GTX 1650,No,Yes,Yes,1.61,1
61c76ef7-8b40-4f63-856e-0423854e47a9,Laptop Model B,Offline,0,79.1,88.11,84.5,HP,Intel Core i7,13,70,4,Integrated Graphics,Yes,No,Yes,2.2,1
0829ee3c-fad5-45cb-bf6c-8e0544758d08,Laptop Model B,Active,0,19.06,15.82,71.75,Asus,AMD Ryzen 7,13,70,2,Integrated Graphics,Yes,No,No,1.57,0
11bdb831-ded2-4000-a9f3-27825fbcc1ac,Laptop Model C,Active,0,56.94,89.48,50.07,Dell,Intel Core i5,15,50,4,Integrated Graphics,Yes,No,Yes,1.48,1
c350c70c-416b-443e-9368-c69b4c934443,Laptop Model B,Offline,0,62.9,77.75,12.19,Dell,AMD Ryzen 7,14,50,4,NVIDIA GeForce GTX 1650,Yes,No,Yes,1.66,0
0d79b8f5-92bd-436e-870f-ac1525774754,Laptop Model C,Offline,1,82.34,54.35,43.27,Asus,Intel Core i7,15,70,2,Integrated Graphics,Yes,Yes,No,1.54,1
6b34c9e0-52b4-4a8d-99b6-28d08a80cbdd,Laptop Model C,Offline,0,85.1,36.22,54.99,Dell,AMD Ryzen 7,13,70,3,Integrated Graphics,No,No,Yes,1.9,1
848c9fe2-4406-44a2-812f-20cde090fed2,Laptop Model C,Active,0,13.66,71.63,83.33,Dell,Intel Core i7,14,50,3,Integrated Graphics,Yes,No,No,1.7,0
b3c95382-9ac9-4974-8e74-0f865c069e1f,Laptop Model C,Offline,1,81.76,14.91,22.93,Dell,Intel Core i7,13,50,4,Integrated Graphics,No,No,No,1.18,1
1934365b-3583-4fed-8055-f264bbc9c117,Laptop Model A,Active,1,68.13,14.02,49.71,Dell,Intel Core i7,17,40,3,Integrated Graphics,No,Yes,No,2.44,1
7fc9c4e6-53a1-4976-bc12-87f877bfde25,Laptop Model A,Active,1,42.73,20.87,80.24,Asus,Intel Core i7,17,70,4,Integrated Graphics,Yes,No,Yes,1.11,1
02526e61-162f-499e-98ab-b3c0453302ed,Laptop Model A,Offline,1,79.82,90.17,66.33,Lenovo,AMD Ryzen 7,13,40,2,Integrated Graphics,No,Yes,No,1.45,1
c08fe173-d292-4770-aa0d-40b352fff266,Laptop Model C,Active,0,38.16,36.99,19.82,Asus,Intel Core i7,15,70,4,NVIDIA GeForce GTX 1650,Yes,Yes,No,2.41,0
7bf62443-45bc-422f-92ed-3b6a1367dfec,Laptop Model C,Offline,0,40.53,48.96,72.14,Dell,AMD Ryzen 7,14,50,4,NVIDIA GeForce GTX 1650,Yes,No,Yes,1.1,0
c1d3a573-a332-4592-bc3d-bca0fdf13690,Laptop Model B,Offline,1,37.6,57.17,82.29,Lenovo,Intel Core i7,14,40,4,Integrated Graphics,Yes,No,No,1.73,1
dd5dad26-4087-4fe9-b970-23bbd99b4efa,Laptop Model C,Offline,1,54.52,76.92,20.61,Dell,Intel Core i5,14,60,3,NVIDIA GeForce GTX 1650,Yes,Yes,Yes,2.15,1
242848c7-b587-4471-8286-c29ec7fef233,Laptop Model C,Active,0,23.63,72.66,24.02,HP,Intel Core i7,15,40,4,NVIDIA GeForce GTX 1650,No,Yes,No,1.32,0
4a3f4b3b-02c4-4f1f-abb7-971483b4e2bb,Laptop Model C,Active,1,67.54,65.97,34.44,Dell,Intel Core i5,13,40,3,Integrated Graphics,No,No,No,1.94,1
72c2a89a-5377-475e-9d00-b3e6282e3c9e,Laptop Model A,Active,1,73.78,93.92,89.36,HP,Intel Core i5,17,50,4,Integrated Graphics,Yes,No,No,2.47,1
02b0d8a2-99fd-4d16-97fc-9c9df3600f69,Laptop Model A,Active,1,77.11,43.28,51.67,Dell,Intel Core i5,17,40,4,NVIDIA GeForce GTX 1650,No,No,Yes,2.08,1
00dfd75c-f9f3-429b-8310-b12153bb824f,Laptop Model A,Active,0,87.81,69.25,84.55,Asus,Intel Core i5,14,70,4,NVIDIA GeForce GTX 1650,Yes,No,Yes,2.05,1
826f1783-b66b-4e4e-932a-d65a7fa9e79b,Laptop Model A,Active,1,70.39,35.37,55.98,Dell,AMD Ryzen 7,15,50,4,NVIDIA GeForce GTX 1650,No,Yes,Yes,1.78,1
f8bd9a54-1e1e-4707-b25d-4cfa9796c993,Laptop Model A,Offline,1,38.87,21.07,15.98,HP,AMD Ryzen 7,17,60,4,Integrated Graphics,No,No,No,1.03,1
0f441c6d-8952-4942-851d-7459eda1cc43,Laptop Model C,Active,0,22.14,37.14,54.26,Lenovo,AMD Ryzen 7,17,40,3,Integrated Graphics,No,Yes,Yes,1.11,0
49f23ad5-1bd1-44d1-9967-057ea4c8bdaf,Laptop Model B,Active,0,87.53,33.51,92.33,HP,Intel Core i7,17,60,2,Integrated Graphics,Yes,Yes,Yes,1.9,1
9b44798c-3f3b-4381-aa74-9015069c6f0a,Laptop Model C,Offline,0,16.68,88.88,87.37,Dell,Intel Core i7,15,50,2,NVIDIA GeForce GTX 1650,Yes,Yes,No,1.86,1
3f20d37b-bc71-41a6-8e51-1b50e9bc4fcc,Laptop Model C,Offline,0,44.95,54.39,47.13,HP,Intel Core i5,17,70,3,Integrated Graphics,Yes,No,Yes,2.24,0
4fa463dd-1a9f-4021-9f37-49a4889bf067,Laptop Model A,Active,1,38.94,73.65,64.43,Lenovo,Intel Core i7,13,50,3,Integrated Graphics,No,No,No,1.44,1
ec7b803a-cf57-4a23-b5af-ba62f5eb7e21,Laptop Model B,Active,0,74.73,65.01,87.05,Lenovo,AMD Ryzen 7,17,70,3,NVIDIA GeForce GTX 1650,Yes,Yes,Yes,1.44,0
47239d42-0c3e-4495-b810-124ae2076446,Laptop Model B,Offline,1,58.13,83.31,83.72,HP,Intel Core i5,13,70,2,NVIDIA GeForce GTX 1650,No,Yes,Yes,2.38,1
c37bd56c-fffd-4b28-a3c2-e45e5972a189,Laptop Model A,Active,0,66.16,75.76,47.96,HP,Intel Core i5,14,60,4,Integrated Graphics,Yes,Yes,Yes,1.01,0
0be81dcd-287b-4a4a-a7ff-0deff05bbd92,Laptop Model A,Active,1,31.08,83.26,79.02,Asus,AMD Ryzen 7,17,60,3,NVIDIA GeForce GTX 1650,Yes,No,Yes,1.65,1
a7e7f1e0-927a-4bc4-8315-46892881eab1,Laptop Model A,Active,0,62.6,33.78,30.24,Dell,Intel Core i5,17,40,3,NVIDIA GeForce GTX 1650,Yes,No,No,1.75,0
257c35e2-6b47-4a8c-8a40-539ae9d4dd05,Laptop Model C,Offline,0,43.73,60.95,92.14,Lenovo,Intel Core i5,17,60,2,Integrated Graphics,Yes,Yes,No,1.38,1
89f3f816-6846-437c-8cf1-c804b732ff41,Laptop Model B,Offline,1,68.37,49.32,65.4,Dell,Intel Core i7,14,70,2,NVIDIA GeForce GTX 1650,Yes,No,Yes,1.01,1
a1e479e8-45fc-4a5b-9fae-5ca57074b10c,Laptop Model B,Offline,1,19.53,11.22,49.94,Lenovo,AMD Ryzen 7,13,40,4,Integrated Graphics,Yes,Yes,Yes,1.76,1
7b9e34c7-9a92-4f0a-b611-163c2181857f,Laptop Model A,Active,1,17.75,93.03,20.44,Lenovo,Intel Core i7,14,70,2,Integrated Graphics,No,Yes,No,1.9,1
c8d30960-a16a-4e45-9178-decb36fa1d48,Laptop Model A,Active,1,21.32,58.43,82.61,Lenovo,Intel Core i5,14,50,2,Integrated Graphics,Yes,Yes,Yes,1.45,1
ee3d0630-a1c9-4c33-a674-5d8826da6231,Laptop Model B,Active,0,65.69,17.2,77.24,Lenovo,AMD Ryzen 7,15,70,2,NVIDIA GeForce GTX 1650,No,No,Yes,1.81,0
a8c3d592-b759-46e4-b664-55927eef4500,Laptop Model C,Active,0,42.3,37.61,62.32,Asus,Intel Core i5,13,40,4,Integrated Graphics,Yes,Yes,Yes,1.66,0
7d028882-02a4-4f3f-85dc-a436d19c051a,Laptop Model B,Active,1,29.12,82.78,58.77,Asus,Intel Core i5,13,40,2,NVIDIA GeForce GTX 1650,No,No,No,2.45,1
f81ab67c-3fff-49d6-b86e-8578b750da83,Laptop Model A,Active,1,25.92,15.46,23.53,Asus,AMD Ryzen 7,17,50,4,NVIDIA GeForce GTX 1650,No,Yes,No,1.27,1
c45fbfce-1ceb-4997-9d46-9fac0b068211,Laptop Model B,Offline,0,53.85,69.48,41.84,Lenovo,Intel Core i5,14,60,3,NVIDIA GeForce GTX 1650,Yes,No,No,2.27,0
c2937b01-b22b-4692-acdc-eaec5f3121ce,Laptop Model C,Offline,0,51.44,94.5,70.15,Asus,AMD Ryzen 7,15,60,4,NVIDIA GeForce GTX 1650,Yes,No,No,1.23,1
a4bb16ed-d01e-44ff-bb31-bb5336e1107e,Laptop Model C,Active,1,78.43,22.81,45.41,Asus,AMD Ryzen 7,17,70,4,NVIDIA GeForce GTX 1650,Yes,Yes,No,1.11,1
7f68b4fd-2e62-4155-87d1-43c174fbf8ac,Laptop Model A,Active,0,68.99,83.97,31.67,HP,Intel Core i7,13,60,3,Integrated Graphics,Yes,No,No,2.24,1
d30dc325-6dca-471e-9097-af93e1877a02,Laptop Model C,Active,1,79.08,13.69,39.08,Asus,AMD Ryzen 7,13,40,4,Integrated Graphics,No,Yes,Yes,1.85,1
a0bec244-a40b-4111-a667-bb44944cc520,Laptop Model C,Active,1,28.56,30.29,16.44,Asus,Intel Core i7,13,50,4,NVIDIA GeForce GTX 1650,No,Yes,No,1.55,1
643722c9-2317-4b7e-822d-467261655fb0,Laptop Model A,Offline,1,94.4,28.2,49.99,Asus,Intel Core i7,14,60,3,NVIDIA GeForce GTX 1650,No,No,Yes,1.27,1
3991f2b2-ec76-45d6-b747-e23f19f68dd0,Laptop Model C,Active,0,88.97,72.75,50.6,HP,AMD Ryzen 7,13,40,4,NVIDIA GeForce GTX 1650,Yes,No,No,2.24,1
bb8d78c8-e02a-411b-92a0-06a40be3e72c,Laptop Model A,Active,1,38.96,41.63,75.97,Asus,Intel Core i7,17,40,4,Integrated Graphics,No,No,Yes,1.85,1
783253c2-9742-48a0-b9ba-81ad37ffec79,Laptop Model B,Offline,0,13.23,35.73,33.07,Dell,Intel Core i7,15,60,2,Integrated Graphics,Yes,Yes,No,1.1,0
653eee8c-9e6d-46e5-8fad-c2a193f13c0c,Laptop Model A,Offline,1,32.76,37.75,15.92,Asus,AMD Ryzen 7,15,70,2,Integrated Graphics,No,No,Yes,1.86,1
64c2e545-98d2-4ab8-bc50-aee4c4977536,Laptop Model A,Offline,1,72.49,58.46,51.53,HP,AMD Ryzen 7,14,60,2,Integrated Graphics,No,Yes,No,1.65,1
55165855-4ae8-45ec-9205-cd3336c7f42c,Laptop Model B,Offline,0,86.1,36.17,30.65,HP,Intel Core i7,17,60,3,NVIDIA GeForce GTX 1650,Yes,No,Yes,1.57,1
6e399eb8-966a-4c42-ad0f-a1d10966801e,Laptop Model B,Active,1,75.59,82.79,59.76,Lenovo,Intel Core i5,13,60,4,NVIDIA GeForce GTX 1650,No,Yes,Yes,1.26,1
27b6068c-b1b8-4b12-b5f9-411e41865a89,Laptop Model C,Active,1,43.74,16.77,81.08,HP,Intel Core i7,15,60,2,NVIDIA GeForce GTX 1650,No,No,Yes,1.11,1
c6ed37a0-6b71-4299-b8a0-8c833e23e76a,Laptop Model A,Offline,0,29.92,56.92,15.39,HP,Intel Core i5,17,50,3,NVIDIA GeForce GTX 1650,No,Yes,Yes,1.81,0
21598298-5ec9-43f9-9597-ae64231fedde,Laptop Model A,Offline,1,72.74,14.77,31.66,Dell,Intel Core i7,13,60,4,Integrated Graphics,No,Yes,Yes,1.04,1
47adab20-134c-4b4f-bcb3-59031292d5fc,Laptop Model C,Active,1,61.37,87.06,41.39,Asus,Intel Core i5,17,70,2,NVIDIA GeForce GTX 1650,No,Yes,No,1.95,1
ea7d92a2-3a43-4da4-af00-d70fd24376c7,Laptop Model B,Offline,0,25.77,73.53,60.2,Asus,Intel Core i7,13,50,2,Integrated Graphics,Yes,No,Yes,1.04,0
b4c8da03-bf18-491d-bb1c-8ebae6ea60f9,Laptop Model C,Offline,1,70.84,89.8,45.0,Lenovo,AMD Ryzen 7,15,40,4,Integrated Graphics,Yes,No,No,1.82,1
9eee452d-9843-43ae-958e-6b86353fb4c4,Laptop Model A,Active,1,33.75,37.09,34.66,Asus,Intel Core i7,14,50,3,Integrated Graphics,No,No,Yes,1.12,1
cc33ec90-b97e-4a01-b11b-2123c8fb9d2d,Laptop Model A,Active,1,68.74,22.79,18.52,HP,Intel Core i7,13,40,4,Integrated Graphics,No,Yes,Yes,1.09,1
ff7187ca-3185-45a2-a44c-1b0d8b65bdb1,Laptop Model A,Offline,1,18.64,87.46,83.36,Asus,Intel Core i5,15,50,2,Integrated Graphics,No,No,Yes,1.01,1
7f34dde1-8803-4dd0-8952-8e2c4a6af6b0,Laptop Model C,Active,0,13.93,56.93,67.94,Asus,AMD Ryzen 7,17,70,3,NVIDIA GeForce GTX 1650,Yes,No,No,1.58,0
2df1453a-6206-458d-8c0b-c95d4f9051ee,Laptop Model A,Offline,1,36.33,17.48,68.53,Asus,Intel Core i7,15,60,4,Integrated Graphics,Yes,Yes,No,1.64,1
c126eae0-fa66-46a5-8caa-f7609b231ac6,Laptop Model A,Offline,1,62.95,25.52,68.38,Lenovo,AMD Ryzen 7,15,70,3,Integrated Graphics,No,No,Yes,1.97,1
2127d82c-025c-4b98-944f-b1c0aa97eff8,Laptop Model A,Offline,1,61.76,73.1,81.0,Lenovo,Intel Core i5,14,40,4,NVIDIA GeForce GTX 1650,No,No,Yes,1.89,1
188d9af8-8bc8-4f82-be56-77a85b2260ec,Laptop Model A,Active,0,66.3,51.58,47.82,Asus,Intel Core i7,17,50,3,NVIDIA GeForce GTX 1650,No,No,Yes,1.64,0
ae18791c-f9dc-4e84-86b5-602ebee792d7,Laptop Model C,Active,1,73.14,32.69,65.29,Asus,Intel Core i5,14,40,4,NVIDIA GeForce GTX 1650,No,Yes,Yes,1.95,1
b3c2e581-c383-4eb6-b993-15a2c88c23fa,Laptop Model B,Active,0,74.89,70.11,48.58,Dell,AMD Ryzen 7,17,40,2,NVIDIA GeForce GTX 1650,No,No,No,1.77,0
6d581c9a-99e5-4d6f-be58-a6f6460dcbb8,Laptop Model B,Offline,1,57.82,47.15,89.09,Dell,Intel Core i7,14,60,4,NVIDIA GeForce GTX 1650,No,Yes,Yes,1.12,1
edf1ff9d-1725-4b76-af69-3203e77bada3,Laptop Model C,Active,0,78.02,15.01,83.9,HP,Intel Core i7,13,70,2,Integrated Graphics,No,No,No,1.66,0
8ccd7ab2-457d-432a-905b-ff3857bbbb2f,Laptop Model B,Offline,0,38.63,18.9,22.7,HP,Intel Core i5,13,40,2,Integrated Graphics,Yes,Yes,No,2.43,0
18f38623-95c8-4a6d-b3ad-09f134134938,Laptop Model C,Active,1,16.0,24.77,36.69,Asus,Intel Core i7,13,40,4,Integrated Graphics,Yes,No,Yes,1.09,1
7acbc8f3-ecaa-4fc5-afc6-5fc55139718f,Laptop Model C,Offline,1,74.3,20.73,78.77,Lenovo,Intel Core i7,17,70,2,NVIDIA GeForce GTX 1650,Yes,Yes,Yes,2.35,1
3bc9a07a-75a2-4512-8076-5909c05c3012,Laptop Model B,Offline,1,50.8,81.6,88.18,Asus,Intel Core i7,15,70,2,NVIDIA GeForce GTX 1650,No,Yes,Yes,1.33,1
e2d86caf-8f34-4149-aa8f-f5256465f3bb,Laptop Model C,Active,1,74.43,39.94,18.52,Asus,Intel Core i7,13,60,4,Integrated Graphics,Yes,No,No,1.46,1
343fb32b-a6e4-4d46-8ae7-0bb165548338,Laptop Model A,Offline,0,87.39,19.04,58.39,Lenovo,Intel Core i7,14,40,4,NVIDIA GeForce GTX 1650,No,No,No,1.04,1
f05af701-4ae9-43ed-b15a-44db6ab63708,Laptop Model A,Offline,1,19.29,87.88,28.93,Lenovo,Intel Core i7,17,50,2,NVIDIA GeForce GTX 1650,No,No,Yes,2.05,1
0c03a8d9-894f-43c1-b193-2c3631d005be,Laptop Model B,Active,1,35.64,92.44,70.65,Asus,Intel Core i7,17,70,2,NVIDIA GeForce GTX 1650,No,Yes,No,2.12,1
1538390e-045c-4080-8c53-7cf00d1580b8,Laptop Model A,Offline,0,50.5,76.59,16.45,Asus,AMD Ryzen 7,17,40,3,Integrated Graphics,No,Yes,Yes,1.64,0
4d0ac277-2ce4-404c-abda-7d5412ec395f,Laptop Model C,Offline,0,63.98,91.6,65.82,Asus,Intel Core i5,14,40,4,Integrated Graphics,Yes,Yes,Yes,2.5,1
42694f0e-540f-41ca-873a-6821de246f8b,Laptop Model A,Active,1,28.61,37.31,44.37,Dell,Intel Core i5,15,40,3,Integrated Graphics,Yes,Yes,No,2.13,1
856fe7fd-b6e4-4e82-a81c-ba9d6303d666,Laptop Model C,Offline,0,45.11,84.77,19.71,Lenovo,Intel Core i7,17,70,4,NVIDIA GeForce GTX 1650,No,Yes,No,1.57,1
c7acb7df-4734-4e6c-b6a8-a34d145d9a11,Laptop Model C,Active,0,53.63,19.17,14.82,HP,Intel Core i5,14,50,2,NVIDIA GeForce GTX 1650,No,Yes,Yes,2.12,0
e710932f-ba9c-478a-867d-5de6f7cdcd45,Laptop Model C,Active,1,36.72,80.13,16.01,Asus,AMD Ryzen 7,13,50,3,Integrated Graphics,Yes,Yes,Yes,1.7,1
f8d2230a-9e95-40c1-8824-59705b680fae,Laptop Model B,Active,1,80.64,71.15,84.7,Asus,Intel Core i5,13,40,3,NVIDIA GeForce GTX 1650,Yes,Yes,No,1.04,1
2328db2b-57cb-42c2-bbe3-7ea17e1832ac,Laptop Model B,Offline,0,22.57,68.0,24.24,Lenovo,AMD Ryzen 7,17,60,3,Integrated Graphics,No,Yes,No,1.05,0
2ffcdb2f-109e-48f7-b74e-ead9b3f8b710,Laptop Model B,Offline,0,35.38,57.73,94.12,Asus,Intel Core i5,13,60,3,Integrated Graphics,No,Yes,No,1.04,1
e2c76f68-7d12-459f-ab8f-0d3ba8586361,Laptop Model A,Active,0,21.22,64.62,53.72,Dell,Intel Core i5,15,70,4,NVIDIA GeForce GTX 1650,Yes,No,No,1.83,0
707b99b4-0e54-4a9e-a6e6-137080b7c03b,Laptop Model B,Offline,1,28.61,37.04,37.01,Asus,Intel Core i5,14,60,2,NVIDIA GeForce GTX 1650,No,Yes,No,1.35,1
